20190101 183800;1.146570;1.146610;1.146570;1.146590;0
20190101 183900;1.146590;1.146610;1.146580;1.146600;0
20190101 184000;1.146590;1.146590;1.146550;1.146560;0
20190101 184100;1.146560;1.146570;1.146520;1.146530;0
20190101 184200;1.146510;1.146530;1.146500;1.146520;0
20190101 184300;1.146520;1.146520;1.146470;1.146470;0
20190101 184400;1.146460;1.146510;1.146460;1.146500;0
20190101 184500;1.146490;1.146500;1.146450;1.146450;0
20190101 184600;1.146460;1.146460;1.146400;1.146410;0
20190101 184700;1.146400;1.146410;1.146360;1.146360;0
20190101 184800;1.146360;1.146360;1.146310;1.146320;0
20190101 184900;1.146310;1.146330;1.146190;1.146220;0
20190101 185000;1.146220;1.146220;1.146150;1.146160;0
20190101 185100;1.146150;1.146160;1.146130;1.146150;0
20190101 185200;1.146150;1.146200;1.146140;1.146200;0
20190101 185300;1.146200;1.146200;1.146170;1.146180;0
20190101 185400;1.146180;1.146180;1.146130;1.146150;0
20190101 185500;1.146160;1.146160;1.146120;1.146140;0
20190101 185600;1.146130;1.146160;1.146130;1.146150;0
20190101 185700;1.146140;1.146150;1.146110;1.146110;0
20190101 185800;1.146110;1.146140;1.146100;1.146120;0
20190101 185900;1.146120;1.146130;1.146120;1.146120;0
20190101 190000;1.146120;1.146120;1.146060;1.146060;0
20190101 190100;1.146060;1.146060;1.145980;1.145990;0
20190101 190200;1.145990;1.145990;1.145860;1.145860;0
20190101 190300;1.145850;1.145870;1.145780;1.145780;0
20190101 190400;1.145780;1.145820;1.145740;1.145780;0
20190101 190500;1.145780;1.146210;1.145730;1.146060;0
20190101 190600;1.146080;1.146260;1.146040;1.146140;0
20190101 190700;1.146140;1.146140;1.146120;1.146140;0
20190101 190800;1.146150;1.146150;1.146100;1.146120;0
20190101 190900;1.146130;1.146200;1.146110;1.146120;0
20190101 191000;1.146120;1.146120;1.145930;1.145940;0
20190101 191100;1.145940;1.146000;1.145930;1.145980;0
20190101 191200;1.145980;1.146040;1.145980;1.146040;0
20190101 191300;1.146050;1.146090;1.146020;1.146080;0
20190101 191400;1.146080;1.146220;1.146080;1.146220;0
20190101 191500;1.146220;1.146240;1.146120;1.146130;0
20190101 191600;1.146130;1.146150;1.146070;1.146070;0
20190101 191700;1.146090;1.146220;1.146060;1.146200;0
20190101 191800;1.146210;1.146210;1.146030;1.146050;0
20190101 191900;1.146060;1.146060;1.146010;1.146050;0
20190101 192000;1.146080;1.146140;1.146050;1.146050;0
20190101 192100;1.146060;1.146100;1.146040;1.146090;0
20190101 192200;1.146080;1.146110;1.146010;1.146020;0
20190101 192300;1.146020;1.146020;1.145980;1.145980;0
20190101 192400;1.145990;1.145990;1.145980;1.145980;0
20190101 192500;1.145980;1.146000;1.145880;1.145890;0
20190101 192600;1.145910;1.145930;1.145870;1.145890;0
20190101 192700;1.145890;1.145890;1.145820;1.145830;0
20190101 192800;1.145830;1.145890;1.145830;1.145890;0
20190101 192900;1.145890;1.145900;1.145730;1.145790;0
20190101 193000;1.145780;1.145870;1.145770;1.145850;0
20190101 193100;1.145850;1.145850;1.145730;1.145740;0
20190101 193200;1.145740;1.145740;1.145580;1.145640;0
20190101 193300;1.145640;1.145640;1.145530;1.145540;0
20190101 193400;1.145550;1.145560;1.145500;1.145530;0
20190101 193500;1.145540;1.145620;1.145530;1.145550;0
20190101 193600;1.145550;1.145600;1.145430;1.145440;0
